Id,Creation Time,Owner,Tags,Running Time,logs/seed,logs/company,logs/imputation,logs/missingness,logs/smape (last),properties/data
EX4-479,2021-08-04 21:36:17,mavantwout,"[""20-predictions"",""time-lag"",""4-year"",""single_run"",""20-step-ahead"",""seed3"",""shifted30"",""7D-prediction""]",322.241,3,KO,5_imputations_combined,33,0.012426114299043315,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-478,2021-08-04 21:35:20,mavantwout,"[""seed2"",""20-predictions"",""single_run"",""4-year"",""3D-prediction"",""shifted30"",""presence"",""20-step-ahead""]",326.737,2,KO,cubicfit260,90,0.006779494166984171,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-477,2021-08-04 21:35:06,mavantwout,"[""3D-prediction"",""seed2"",""single_run"",""20-step-ahead"",""shifted30"",""presence"",""20-predictions"",""4-year""]",327.371,2,KO,forwardfill,90,0.006996731063957269,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-476,2021-08-04 21:34:50,mavantwout,"[""seed2"",""shifted30"",""single_run"",""3D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""presence""]",311.935,2,KO,linearfit260,90,0.007791152743187635,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-475,2021-08-04 21:34:43,mavantwout,"[""4-year"",""single_run"",""20-step-ahead"",""presence"",""3D-prediction"",""20-predictions"",""shifted30"",""seed2""]",282.187,2,KO,forwardfill,985,0.04425446774406176,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-474,2021-08-04 21:34:23,mavantwout,"[""time-lag"",""seed2"",""20-predictions"",""20-step-ahead"",""single_run"",""4-year"",""shifted30"",""3D-prediction""]",321.774,2,KO,forwardfill,90,0.042846376074999304,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-473,2021-08-04 21:34:20,mavantwout,"[""7D-prediction"",""20-predictions"",""presence"",""single_run"",""4-year"",""seed3"",""shifted30"",""20-step-ahead""]",322.014,3,KO,5_imputations_combined,985,0.006739066730259681,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-472,2021-08-04 21:34:17,mavantwout,"[""single_run"",""4-year"",""7D-prediction"",""shifted30"",""seed2"",""20-predictions"",""time-lag"",""20-step-ahead""]",356.457,2,KO,5_imputations_combined,985,0.006844218145997341,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-471,2021-08-04 21:34:17,mavantwout,"[""seed2"",""20-step-ahead"",""20-predictions"",""4-year"",""shifted30"",""time-lag"",""7D-prediction"",""single_run""]",356.236,2,KO,5_imputations_combined,90,0.011595197774463713,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX4-470,2021-08-04 21:34:15,mavantwout,"[""time-lag"",""20-predictions"",""4-year"",""single_run"",""20-step-ahead"",""seed2"",""3D-prediction"",""shifted30""]",316.849,2,KO,linearfit260,90,0.005923874060129786,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
