Id,Creation Time,Owner,Tags,logs/imputation,Running Time,logs/company,logs/missingness,logs/seed,logs/smape (last)
EX1-64,2021-08-04 14:33:31,mavantwout,"[""20-predictions"",""no-extra-feature"",""price_imputed"",""20-step-ahead"",""seed2"",""4-year"",""1D-prediction"",""single_run""]",cubicfit260,85.354,MSFT,985,2,0.023165930544854437
EX1-63,2021-08-04 14:33:18,mavantwout,"[""5D-prediction"",""4-year"",""20-predictions"",""no-extra-feature"",""seed2"",""20-step-ahead"",""single_run"",""price_imputed""]",5_imputations_combined,104.512,MSFT,985,2,0.02094667260850392
EX1-62,2021-08-04 14:33:14,mavantwout,"[""4-year"",""price_imputed"",""20-predictions"",""no-extra-feature"",""1D-prediction"",""seed2"",""single_run"",""20-step-ahead""]",linearfit260,76.762,MSFT,985,2,0.021970961888623238
EX1-61,2021-08-04 14:32:17,mavantwout,"[""single_run"",""20-predictions"",""4-year"",""price_imputed"",""1D-prediction"",""seed1"",""no-extra-feature"",""20-step-ahead""]",forwardfill,90.501,MSFT,985,1,0.019600670762598853
EX1-60,2021-08-04 14:32:17,mavantwout,"[""20-predictions"",""4-year"",""no-extra-feature"",""single_run"",""seed1"",""20-step-ahead"",""1D-prediction"",""price_imputed""]",globalmean,90.148,MSFT,985,1,0.019062900398453004
EX1-59,2021-08-04 14:32:12,mavantwout,"[""single_run"",""seed1"",""no-extra-feature"",""1D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""price_imputed""]",meanlast260,87.032,MSFT,985,1,0.0195495487432107
EX1-58,2021-08-04 14:32:06,mavantwout,"[""20-predictions"",""no-extra-feature"",""price_imputed"",""20-step-ahead"",""4-year"",""seed1"",""1D-prediction"",""single_run""]",cubicfit260,84.719,MSFT,985,1,0.02142039262349434
EX1-57,2021-08-04 14:31:57,mavantwout,"[""4-year"",""price_imputed"",""20-predictions"",""no-extra-feature"",""1D-prediction"",""single_run"",""seed1"",""20-step-ahead""]",linearfit260,76.437,MSFT,985,1,0.021655781567207055
EX1-56,2021-08-04 14:31:33,mavantwout,"[""5D-prediction"",""4-year"",""20-predictions"",""no-extra-feature"",""seed1"",""20-step-ahead"",""single_run"",""price_imputed""]",5_imputations_combined,104.046,MSFT,985,1,0.01960686808312006
EX1-55,2021-08-04 14:30:40,mavantwout,"[""single_run"",""seed0"",""no-extra-feature"",""1D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""price_imputed""]",meanlast260,90.8,MSFT,985,0,0.01908181479060801
