Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-154,2021-08-05 10:43:09,mavantwout,"[""time-lag"",""quarterly"",""seed2"",""4-year"",""7D-prediction"",""20-predictions"",""single_run"",""20-step-ahead""]",336.455,0.007119851158441004,KO,cubicfit260,2
EX5-153,2021-08-05 10:43:03,mavantwout,"[""seed2"",""20-step-ahead"",""4-year"",""quarterly"",""single_run"",""20-predictions"",""7D-prediction"",""presence""]",337.609,0.03785863409518852,KO,forwardfill,2
EX5-152,2021-08-05 10:42:51,mavantwout,"[""20-step-ahead"",""single_run"",""seed2"",""20-predictions"",""presence"",""7D-prediction"",""quarterly"",""4-year""]",336.364,0.045119756501096495,KO,globalmean,2
EX5-151,2021-08-05 10:42:42,mavantwout,"[""7D-prediction"",""4-year"",""20-step-ahead"",""quarterly"",""presence"",""20-predictions"",""seed2"",""single_run""]",331.559,0.006335101042652826,KO,meanlast260,2
EX5-150,2021-08-05 10:42:33,mavantwout,"[""single_run"",""time-lag"",""20-step-ahead"",""quarterly"",""seed2"",""7D-prediction"",""20-predictions"",""4-year""]",321.583,0.03996666456110494,KO,globalmean,2
EX5-147,2021-08-05 10:41:12,mavantwout,"[""20-step-ahead"",""single_run"",""quarterly"",""time-lag"",""seed2"",""20-predictions"",""4-year"",""7D-prediction""]",311.449,0.007266672786310867,KO,forwardfill,2
EX5-145,2021-08-05 10:41:06,mavantwout,"[""20-step-ahead"",""presence"",""seed2"",""20-predictions"",""single_run"",""7D-prediction"",""quarterly"",""4-year""]",306.312,0.006190953940964323,KO,cubicfit260,2
EX5-146,2021-08-05 10:41:06,mavantwout,"[""7D-prediction"",""single_run"",""20-predictions"",""quarterly"",""20-step-ahead"",""presence"",""seed2"",""4-year""]",301.468,0.03931594682695435,KO,linearfit260,2
EX5-144,2021-08-05 10:37:45,mavantwout,"[""quarterly"",""single_run"",""4-year"",""seed1"",""time-lag"",""7D-prediction"",""20-step-ahead"",""20-predictions""]",361.439,0.007235509536380455,KO,linearfit260,1
EX5-143,2021-08-05 10:37:45,mavantwout,"[""7D-prediction"",""time-lag"",""20-step-ahead"",""quarterly"",""seed1"",""20-predictions"",""single_run"",""4-year""]",361.261,0.006552248509808433,KO,meanlast260,1
EX5-142,2021-08-05 10:37:29,mavantwout,"[""time-lag"",""quarterly"",""4-year"",""7D-prediction"",""20-predictions"",""single_run"",""20-step-ahead"",""seed1""]",335.103,0.006346517355541268,KO,cubicfit260,1
EX5-141,2021-08-05 10:37:25,mavantwout,"[""20-step-ahead"",""seed1"",""4-year"",""quarterly"",""single_run"",""20-predictions"",""7D-prediction"",""presence""]",337.086,0.014525859707390518,KO,forwardfill,1
EX5-140,2021-08-05 10:37:14,mavantwout,"[""20-step-ahead"",""single_run"",""20-predictions"",""presence"",""7D-prediction"",""quarterly"",""4-year"",""seed1""]",336.563,0.006305344471573689,KO,globalmean,1
EX5-139,2021-08-05 10:37:10,mavantwout,"[""single_run"",""time-lag"",""20-step-ahead"",""quarterly"",""7D-prediction"",""20-predictions"",""seed1"",""4-year""]",321.957,0.01054263515937968,KO,globalmean,1
EX5-138,2021-08-05 10:37:10,mavantwout,"[""7D-prediction"",""4-year"",""20-step-ahead"",""quarterly"",""presence"",""20-predictions"",""single_run"",""seed1""]",332.083,0.006137759028545379,KO,meanlast260,1
EX5-135,2021-08-05 10:36:05,mavantwout,"[""20-step-ahead"",""single_run"",""quarterly"",""time-lag"",""seed1"",""20-predictions"",""4-year"",""7D-prediction""]",306.478,0.034579387746503806,KO,forwardfill,1
