Id,Creation Time,Owner,Tags,logs/missingness,logs/seed,logs/imputation,logs/company,logs/smape (last),Running Time,properties/data
EX2-170,2021-08-04 16:06:35,mavantwout,"[""shifted30"",""20-predictions"",""2D-prediction"",""4-year"",""seed4"",""20-step-ahead"",""single_run""]",90,4,globalmean,MSFT,0.027963351168323446,96.723,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-169,2021-08-04 16:06:22,mavantwout,"[""seed4"",""single_run"",""20-step-ahead"",""4-year"",""2D-prediction"",""shifted30"",""20-predictions""]",90,4,forwardfill,MSFT,0.13325107094531013,91.131,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-168,2021-08-04 16:05:35,mavantwout,"[""seed3"",""shifted30"",""single_run"",""2D-prediction"",""4-year"",""20-predictions"",""20-step-ahead""]",90,3,cubicfit260,MSFT,0.01923258341745005,106.447,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-167,2021-08-04 16:05:35,mavantwout,"[""20-step-ahead"",""single_run"",""4-year"",""20-predictions"",""seed3"",""shifted30"",""2D-prediction""]",90,3,linearfit260,MSFT,0.04028375883178893,106.882,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-166,2021-08-04 16:05:15,mavantwout,"[""20-step-ahead"",""4-year"",""single_run"",""20-predictions"",""shifted30"",""2D-prediction"",""seed3""]",90,3,meanlast260,MSFT,0.022872033082924854,101.501,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-165,2021-08-04 16:05:14,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""seed3"",""2D-prediction"",""shifted30"",""4-year""]",33,3,cubicfit260,MSFT,0.031451916676870875,101.237,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-164,2021-08-04 16:05:14,mavantwout,"[""4-year"",""20-predictions"",""2D-prediction"",""single_run"",""shifted30"",""20-step-ahead"",""seed3""]",33,3,globalmean,MSFT,0.029364305527694957,101.624,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-163,2021-08-04 16:05:09,mavantwout,"[""2D-prediction"",""single_run"",""20-predictions"",""seed3"",""4-year"",""shifted30"",""20-step-ahead""]",33,3,linearfit260,MSFT,0.023745700766350245,96.718,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-162,2021-08-04 16:05:09,mavantwout,"[""20-step-ahead"",""seed3"",""20-predictions"",""shifted30"",""2D-prediction"",""single_run"",""4-year""]",33,3,meanlast260,MSFT,0.024837856580407013,96.377,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-161,2021-08-04 16:04:59,mavantwout,"[""shifted30"",""20-predictions"",""2D-prediction"",""4-year"",""seed3"",""20-step-ahead"",""single_run""]",90,3,globalmean,MSFT,0.01902789500095239,91.192,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-160,2021-08-04 16:04:50,mavantwout,"[""seed3"",""single_run"",""20-step-ahead"",""4-year"",""2D-prediction"",""shifted30"",""20-predictions""]",90,3,forwardfill,MSFT,0.019915863238675197,91.219,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-159,2021-08-04 16:03:47,mavantwout,"[""shifted30"",""single_run"",""seed2"",""2D-prediction"",""4-year"",""20-predictions"",""20-step-ahead""]",90,2,cubicfit260,MSFT,0.020547637435462944,107.055,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-158,2021-08-04 16:03:47,mavantwout,"[""20-step-ahead"",""single_run"",""4-year"",""20-predictions"",""seed2"",""shifted30"",""2D-prediction""]",90,2,linearfit260,MSFT,0.021292631464282882,107.057,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-157,2021-08-04 16:03:33,mavantwout,"[""20-step-ahead"",""4-year"",""single_run"",""20-predictions"",""shifted30"",""2D-prediction"",""seed2""]",90,2,meanlast260,MSFT,0.026162044435335617,101.488,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/MSFT_Shifted_30ahead_m90.csv
EX2-156,2021-08-04 16:03:32,mavantwout,"[""4-year"",""20-predictions"",""2D-prediction"",""single_run"",""shifted30"",""seed2"",""20-step-ahead""]",33,2,globalmean,MSFT,0.029163000898070352,101.686,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-155,2021-08-04 16:03:32,mavantwout,"[""20-step-ahead"",""20-predictions"",""shifted30"",""seed2"",""2D-prediction"",""single_run"",""4-year""]",33,2,meanlast260,MSFT,0.016526877519860952,96.27,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-154,2021-08-04 16:03:32,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""2D-prediction"",""shifted30"",""seed2"",""4-year""]",33,2,cubicfit260,MSFT,0.03861471629404887,101.27,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX2-153,2021-08-04 16:03:32,mavantwout,"[""2D-prediction"",""single_run"",""seed2"",""20-predictions"",""4-year"",""shifted30"",""20-step-ahead""]",33,2,linearfit260,MSFT,0.02603657975004945,96.853,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
