Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio,EnterpriseValue_forwardfill,EnterpriseValue_globalmean,EnterpriseValue_meanlast260,EnterpriseValue_linearfit260,EnterpriseValue_cubicfit260,PeRatio_forwardfill,PeRatio_globalmean,PeRatio_meanlast260,PeRatio_linearfit260,PeRatio_cubicfit260,ForwardPeRatio_forwardfill,ForwardPeRatio_globalmean,ForwardPeRatio_meanlast260,ForwardPeRatio_linearfit260,ForwardPeRatio_cubicfit260,PegRatio_forwardfill,PegRatio_globalmean,PegRatio_meanlast260,PegRatio_linearfit260,PegRatio_cubicfit260,EnterprisesValueEBITDARatio_forwardfill,EnterprisesValueEBITDARatio_globalmean,EnterprisesValueEBITDARatio_meanlast260,EnterprisesValueEBITDARatio_linearfit260,EnterprisesValueEBITDARatio_cubicfit260,missing-1or1,time_lag
2018-08-28,45.36999893,,,,,,214110580000.0,212679317743.0,214389496614.5,213197382669.52173,226982435188.85675,141.484,75.64966666666668,98.45750000000001,183.9271300045877,-69.67406898829086,20.877,22.254500000000004,21.7745,20.164464631560673,24.84825196743336,2.692,3.931666666666666,3.37,2.232905208862877,4.814147777883454,62.844,94.5775,99.67525,64.83108175968052,125.57878591370445,-1,41
2018-08-29,45.33000183,,,,,,214110580000.0,212679317743.0,214389496614.5,213188665200.08862,227454004212.98273,141.484,75.64966666666668,98.45750000000001,184.55213643972178,-77.51200055405843,20.877,22.254500000000004,21.7745,20.152691063966966,24.997349582240172,2.692,3.931666666666666,3.37,2.224590073278693,4.894968464259156,62.844,94.5775,99.67525,64.57627979814254,128.2820535895927,-1,42
2018-08-30,44.95000076,,,,,,214110580000.0,212679317743.0,214389496614.5,213179947730.6555,227933963595.58636,141.484,75.64966666666668,98.45750000000001,185.17714287485586,-85.49256195627072,20.877,22.254500000000004,21.7745,20.14091749637326,25.149225130985144,2.692,3.931666666666666,3.37,2.2162749376945095,4.977335155083283,62.844,94.5775,99.67525,64.32147783660454,131.04876547059598,-1,43
2018-08-31,44.56999969,,,,,,214110580000.0,212679317743.0,214389496614.5,213171230261.22238,228422375051.5893,141.484,75.64966666666668,98.45750000000001,185.80214930999,-93.61677476238651,20.877,22.254500000000004,21.7745,20.129143928779552,25.3038988754688,2.692,3.931666666666666,3.37,2.2079598021103255,5.0612591630101615,62.844,94.5775,99.67525,64.06667587506657,133.87945038515943,-1,44
2018-09-04,44.75999832,,,,,,214110580000.0,212679317743.0,214389496614.5,213162512791.78928,228919300295.91327,141.484,75.64966666666668,98.45750000000001,186.42715574512408,-101.88566053985892,20.877,22.254500000000004,21.7745,20.11737036118585,25.461391077491708,2.692,3.931666666666666,3.37,2.199644666526142,5.146751800694068,62.844,94.5775,99.67525,63.81187391352857,136.7746371617228,-1,45
2018-09-05,45.38000107,,,,,,214110580000.0,212679317743.0,214389496614.5,213153795322.35617,229424801043.48,141.484,75.64966666666668,98.45750000000001,187.05216218025816,-110.30024085614468,20.877,22.254500000000004,21.7745,20.10559679359214,25.621721998854493,2.692,3.931666666666666,3.37,2.191329530941958,5.233824380789281,62.844,94.5775,99.67525,63.557071951990594,139.734854628731,-1,46
2018-09-06,45.77000046,,,,,,214110580000.0,212679317743.0,214389496614.5,213145077852.92303,229938939009.21118,141.484,75.64966666666668,98.45750000000001,187.67716861539225,-118.8615372786985,20.877,22.254500000000004,21.7745,20.093823225998435,25.784911901357756,2.692,3.931666666666666,3.37,2.1830143953577745,5.322488215950104,62.844,94.5775,99.67525,63.3022699904526,142.7606316146239,-1,47
2018-09-07,45.72000122,,,,,,214110580000.0,212679317743.0,214389496614.5,213136360383.48993,230461775908.0285,141.484,75.64966666666668,98.45750000000001,188.30217505052633,-127.57057137497759,20.877,22.254500000000004,21.7745,20.082049658404728,25.950981046802024,2.692,3.931666666666666,3.37,2.1746992597735906,5.412754618830812,62.844,94.5775,99.67525,63.04746802891462,145.85249694784636,-1,48
2018-09-10,46.06000137,,,,,,214110580000.0,212679317743.0,214389496614.5,213127642914.05682,230993373454.85385,141.484,75.64966666666668,98.45750000000001,188.92718148566047,-136.42836471243754,20.877,22.254500000000004,21.7745,20.07027609081102,26.11994969698797,2.692,3.931666666666666,3.37,2.166384124189407,5.50463490208571,62.844,94.5775,99.67525,62.79266606737664,149.0109794568383,-1,49
2018-09-11,46.02000046,,,,,,214110580000.0,212679317743.0,214389496614.5,213118925444.62372,231533793364.60876,141.484,75.64966666666668,98.45750000000001,189.55218792079455,-145.43593885853534,20.877,22.254500000000004,21.7745,20.058502523217314,26.29183811371612,2.692,3.931666666666666,3.37,2.1580689886052236,5.598140378369065,62.844,94.5775,99.67525,62.53786410583865,152.2366079700447,-1,50
