Close_ahead30,Close_ahead30_missing30
92.87999725,92.87999725
91.86000061,91.86000061
93.58000183,
93.08000183,93.08000183
94.16999817,94.16999817
96.06999969,
96.44000244,96.44000244
96.11000061,96.11000061
95,
95.34999847,95.34999847
93.12000275,93.12000275
92.30999756,
94.26000214,94.26000214
95.81999969,95.81999969
93.51999664,
95,95
93.51000214,93.51000214
94.06999969,
95.16000366,95.16000366
96.22000122,96.22000122
95.80999756,
96.94000244,96.94000244
97.91000366,97.91000366
97.69999695,
98.02999878,98.02999878
97.31999969,97.31999969
97.15000153,
96.18000031,96.18000031
96.36000061,96.36000061
97.59999847,
97.5,97.5
98.66000366,98.66000366
98.30999756,
98.36000061,98.36000061
98.01000214,98.01000214
98.94999695,
98.83999634,98.83999634
100.7900009,100.7900009
101.6699982,
102.1900024,102.1900024
102.4899979,102.4899979
100.8799973,
101.6299973,101.6299973
101.0500031,101.0500031
101.3099976,
100.8499985,100.8499985
101.4199982,101.4199982
100.1299973,
100.8600006,100.8600006
100.8600006,100.8600006
101.8700027,
101.1399994,101.1399994
100.4100037,100.4100037
98.38999939,
99.08000183,99.08000183
97.54000092,97.54000092
98.62999725,
98.61000061,98.61000061
100.0100021,100.0100021
99.05000305,
99.76000214,99.76000214
101.1600037,101.1600037
101.8499985,
102.1200027,102.1200027
101.9800034,101.9800034
104.1900024,
105.4300003,105.4300003
104.9100037,104.9100037
105.9499969,
105.1200027,105.1200027
104.4000015,104.4000015
106.2699966,
107.9700012,107.9700012
107.6600037,107.6600037
110.8300018,
109.6200027,109.6200027
107.6800003,107.6800003
105.3700027,
106.0800018,106.0800018
106.2799988,106.2799988
107.5699997,
108.0400009,108.0400009
108.1299973,108.1299973
108.8799973,
109.4899979,109.4899979
109.6699982,109.6699982
109,
108.2099991,108.2099991
109.5599976,109.5599976
107.6600037,
107.6399994,107.6399994
107.5800018,107.5800018
106.8700027,
105.9800034,105.9800034
107.0599976,107.0599976
107.5599976,
108.4000015,108.4000015
109.5999985,109.5999985
110.2600021,
112.0199966,112.0199966
111.9499969,111.9499969
112.3300018,
111.7099991,111.7099991
108.4899979,108.4899979
108.7399979,
108.2099991,108.2099991
109.3799973,109.3799973
111.2399979,
111.7099991,111.7099991
112.9100037,112.9100037
113.3700027,
112.1399994,112.1399994
113.2099991,113.2099991
111.6999969,
113.5699997,113.5699997
114.2600021,114.2600021
114.6699982,
114.4499969,114.4499969
113.9800034,113.9800034
114.4100037,
114.3700027,114.3700027
115.6100006,115.6100006
115.1500015,
115.1699982,115.1699982
112.7900009,112.7900009
112.1299973,
110.8499985,110.8499985
112.2600021,112.2600021
106.1600037,
105.9100037,105.9100037
109.5699997,109.5699997
107.5999985,
111,111
110.7099991,110.7099991
108.5,
108.6600037,108.6600037
109.6299973,109.6299973
108.0999985,
102.3199997,102.3199997
108.3000031,108.3000031
106.9599991,
103.8499985,103.8499985
103.7300034,103.7300034
106.8099976,
105.9199982,105.9199982
106.1600037,106.1600037
107.5100021,
107.7200012,107.7200012
111.9599991,111.9599991
111.75,
109.5699997,109.5699997
106.8700027,106.8700027
106.9400024,
104.9700012,104.9700012
107.2799988,107.2799988
108.2900009,
104.6200027,104.6200027
101.7099991,101.7099991
103.1100006,
103.0699997,103.0699997
106.4700012,106.4700012
107.1399994,
111.1200027,111.1200027
110.1900024,110.1900024
110.8899994,
112.0899963,112.0899963
